"name","year_start","year_end","years_tot","birth_date","position","height","weight","college"
"Alaa Abdelnaby",1991,1995,5,1968-06-24,"F-C",82,240,"Duke University"
"Zaid Abdul-Aziz",1969,1978,10,1946-04-07,"C-F",81,235,"Iowa State University"
"Kareem Abdul-Jabbar",1970,1989,20,1947-04-16,"C",86,225,"University of California, Los Angeles"
"Mahmoud Abdul-Rauf",1991,2001,11,1969-03-09,"G",73,162,"Louisiana State University"
"Tariq Abdul-Wahad",1998,2003,6,1974-11-03,"F",78,223,"San Jose State University"
"Shareef Abdur-Rahim",1997,2008,12,1976-12-11,"F",81,225,"University of California"
"Tom Abernethy",1977,1981,5,1954-05-06,"F",79,220,"Indiana University"
"Forest Able",1957,1957,1,1932-07-27,"G",75,180,"Western Kentucky University"
"John Abramovic",1947,1948,2,1919-02-09,"F",75,195,"Salem International University"
"Alex Abrines",2017,2018,2,1993-08-01,"G-F",78,190,"No College"
"Alex Acker",2006,2009,4,1983-01-21,"G",77,185,"Pepperdine University"
"Don Ackerman",1954,1954,1,1930-09-04,"G",72,183,"Long Island University"
"Mark Acres",1988,1993,6,1962-11-15,"F-C",83,220,"Oral Roberts University"
"Bud Acton",1968,1968,1,1942-01-11,"F",78,210,"Hillsdale College"
"Quincy Acy",2013,2018,6,1990-10-06,"F",79,240,"Baylor University"
"Alvan Adams",1976,1988,13,1954-07-19,"C-F",81,210,"University of Oklahoma"
"Don Adams",1971,1977,7,1947-11-27,"F",78,210,"Northwestern University"
"George Adams",1973,1975,3,1949-05-15,"F-G",77,210,"Gardner-Webb University"
"Hassan Adams",2007,2009,3,1984-06-20,"G",76,220,"University of Arizona"
"Jordan Adams",2015,2016,2,1994-07-08,"G",77,209,"University of California, Los Angeles"
"Michael Adams",1986,1996,11,1963-01-19,"G",70,162,"Boston College"
"Steven Adams",2014,2018,5,1993-07-20,"C",84,255,"University of Pittsburgh"
"Rafael Addison",1987,1997,11,1964-07-22,"F-G",79,215,"Syracuse University"
"Bam Adebayo",2018,2018,1,1997-07-18,"C-F",82,243,"University of Kentucky"
"Rick Adelman",1969,1975,7,1946-06-16,"G",73,175,"Loyola Marymount University"
"Jeff Adrien",2011,2015,5,1986-02-10,"F",79,245,"University of Connecticut"
"Arron Afflalo",2008,2018,11,1985-10-15,"G",77,210,"University of California, Los Angeles"
"Maurice Ager",2007,2011,5,1984-02-09,"G",77,202,"Michigan State University"
"Mark Aguirre",1982,1994,13,1959-12-10,"F-G",78,232,"DePaul University"
"Blake Ahearn",2008,2012,5,1984-05-27,"G",74,190,"Missouri State University"
"Danny Ainge",1982,1995,14,1959-03-17,"G",76,175,"Brigham Young University"
"Matthew Aitch",1968,1968,1,1944-09-21,"F",79,230,"Michigan State University"
"Alexis Ajinca",2009,2017,9,1988-05-06,"C",86,248,"No College"
"Henry Akin",1967,1969,3,1944-07-31,"C-F",82,225,"Morehead State University"
"Josh Akognon",2013,2013,1,1986-02-10,"G",71,185,"California State University, Fullerton"
"Solomon Alabi",2011,2012,2,1988-03-21,"C",85,251,"Florida State University"
"Mark Alarie",1987,1991,5,1963-12-11,"F",80,217,"Duke University"
"Gary Alcorn",1960,1961,2,1936-10-08,"C",81,225,"California State University, Fresno"
"Furkan Aldemir",2015,2015,1,1991-08-09,"F-C",82,240,"No College"
"Cole Aldrich",2011,2018,8,1988-10-31,"C",83,250,"University of Kansas"
"LaMarcus Aldridge",2007,2018,12,1985-07-19,"F-C",83,260,"University of Texas at Austin"
"Chuck Aleksinas",1985,1985,1,1959-02-26,"C",83,260,"University of Connecticut"
"Cliff Alexander",2016,2016,1,1995-11-16,"F",80,245,"University of Kansas"
"Cory Alexander",1996,2005,10,1973-06-22,"G",73,185,"University of Virginia"
"Courtney Alexander",2001,2003,3,1977-04-27,"G",77,205,"California State University, Fresno"
"Gary Alexander",1994,1994,1,1969-11-01,"F",79,240,"University of South Florida"
"Joe Alexander",2009,2010,2,1986-12-26,"F",80,230,"West Virginia University"
"Victor Alexander",1992,2002,11,1969-08-31,"C-F",81,265,"Iowa State University"
"Steve Alford",1988,1991,4,1964-11-23,"G",74,183,"Indiana University"
"Bill Allen",1968,1968,1,,"C-F",80,205,"New Mexico State University"
"Bob Allen",1969,1969,1,1946-07-17,"F",81,205,"Marshall University"
"Jarrett Allen",2018,2018,1,1998-04-21,"F-C",82,234,"University of Texas at Austin"
"Jerome Allen",1996,1997,2,1973-01-28,"G",76,184,"University of Pennsylvania"
"Kadeem Allen",2018,2018,1,1993-01-15,"G",75,192,"University of Arizona"
"Lavoy Allen",2012,2017,6,1989-02-04,"F-C",81,260,"Temple University"
"Lucius Allen",1970,1979,10,1947-09-26,"G",74,175,"University of California, Los Angeles"
"Malik Allen",2002,2011,10,1978-06-27,"F-C",82,255,"Villanova University"
"Randy Allen",1989,1990,2,1965-01-26,"F",80,220,"Florida State University"
"Ray Allen",1997,2014,18,1975-07-20,"G",77,205,"University of Connecticut"
"Tony Allen",2005,2018,14,1982-01-11,"G-F",76,213,"Oklahoma State University"
"Willie Allen",1972,1972,1,1949-02-08,"F",78,230,"University of Miami"
"Odis Allison",1972,1972,1,1949-10-02,"F",78,195,"University of Nevada, Las Vegas"
"Lance Allred",2008,2008,1,1981-02-02,"C",83,250,"Weber State University"
"Darrell Allums",1981,1981,1,1958-09-12,"F",81,220,"University of California, Los Angeles"
"Morris Almond",2008,2012,5,1985-02-02,"G",78,225,"Rice University"
"Derrick Alston",1995,1997,3,1972-08-20,"F",83,225,"Duquesne University"
"Rafer Alston",2000,2010,11,1976-07-24,"G",74,171,"California State University, Fresno"
"Peter Aluma",1999,1999,1,1973-04-23,"C",82,260,"Liberty University"
"John Amaechi",1996,2003,8,1970-11-26,"C-F",82,270,"Pennsylvania State University"
"Ashraf Amaya",1996,1997,2,1971-11-23,"F",80,230,"Southern Illinois University"
"Al-Farouq Aminu",2011,2018,8,1990-09-21,"F",81,220,"Wake Forest University"
"Lou Amundson",2007,2016,10,1982-12-07,"F",81,220,"University of Nevada, Las Vegas"
"Bob Anderegg",1960,1960,1,1937-08-24,"F-G",75,200,"Michigan State University"
